Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
60,Justus Annunen,G,6-4,210,L/-,R,March 11 2000,annunju01
16,Nicolas Aube-Kubel,RW,5-11,214,R/-,3,May 10 1996,aubekni01
20-72,Justin Barron,D,6-2,195,R/-,R,November 15 2001,barroju01
95,Andre Burakovsky,LW,6-3,209,L/-,7,February 9 1995,burakan01
4,Bowen Byram,D,6-1,190,L/-,1,June 13 2001,byrambo01
11,Andrew Cogliano,LW/C,5-10,175,L/-,14,June 14 1987,coglian01
37,J.T. Compher,LW,6-0,190,R/-,5,April 8 1995,comphj.01
39,Pavel Francouz,G,6-0,179,-/-,2,June 3 1990,francpa01
49,Samuel Girard,D,5-10,170,L/-,4,May 12 1998,girarsa01
,Jordan Gross,D,5-10,190,R/-,2,May 9 1995,grossjo01
43,Darren Helm,C/LW,6-0,192,L/-,14,January 21 1987,helmda01
31,Jonas Johansson,G,6-5,220,L/-,2,September 19 1995,johanjo03
6,Erik Johnson,D,6-4,225,R/-,13,March 21 1988,johnser01
3,Jack Johnson,D,6-1,227,L/-,15,January 13 1987,johnsja02
17,Tyson Jost,C,5-11,187,L/-,5,March 14 1998,jostty01
91,Nazem Kadri,C,6-0,192,L/-,12,October 6 1990,kadrina01
61,Martin Kaut,RW,6-2,180,R/-,2,October 2 1999,kautma01
35,Darcy Kuemper,G,6-5,215,-/L,9,May 5 1990,kuempda01
92,Gabriel Landeskog (C),LW,6-1,215,L/-,10,November 23 1992,landega01
62,Artturi Lehkonen,LW,6-0,176,L/-,5,July 4 1995,lehkoar01
56,Kurtis MacDermid,D,6-5,233,L/-,4,March 25 1994,macdeku01
26,Jacob MacDonald,D,6-0,204,L/-,2,February 26 1993,macdoja02
29,Nathan MacKinnon,C,6-0,200,R/-,8,September 1 1995,mackina01
8,Cale Makar,D,5-11,187,R/-,2,October 30 1998,makarca01
11-98,Mikhail Maltsev,LW,6-3,198,L/-,1,March 12 1998,maltsmi01
42,Josh Manson,D,6-3,218,R/-,7,October 7 1991,mansojo01
22,Stefan Matteau,LW,6-2,208,L/-,6,February 23 1994,mattest02
12,Jayson Megna,C,6-1,195,R/-,7,February 1 1990,megnaja01
59,Ben Meyers,F,5-11,200,L/-,R,November 15 1998,meyerbe01
28,Ryan Murray,D,6-1,206,L/-,8,September 27 1993,murrary01
18,Alex Newhook,C,5-10,190,L/-,1,January 28 2001,newhoal01
13,Valeri Nichushkin,RW,6-4,210,L/-,6,March 4 1995,nichuva01
25,Logan O'Connor,RW,6-0,175,R/-,3,August 14 1996,oconnlo01
75,Sampo Ranta,LW,6-1,192,L/-,R,May 31 2000,rantasa01
96,Mikko Rantanen,RW,6-4,215,L/-,6,October 29 1996,rantami01
44,Kiefer Sherwood,RW,6-0,194,R/-,3,March 31 1995,sherwki01
9,Dylan Sikura,C,5-11,170,L/-,4,June 1 1995,sikurdy01
78,Nico Sturm,C,6-3,206,L/-,3,May 3 1995,sturmni01
7,Devon Toews,D,6-1,191,L/-,3,February 21 1994,toewsde01
