 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
88,Kevin Bahl,D,6-6,230,L/-,R,June 27 2000,bahlke01
14,Nathan Bastian,RW,6-4,205,R/-,1,December 6 1997,bastina01
29,Mackenzie Blackwood,G,6-4,225,-/L,2,December 9 1996,blackma01
90,Jesper Boqvist,C,6-0,180,L/-,1,October 30 1998,boqvije01
63,Jesper Bratt,W,5-10,175,L/-,3,July 30 1998,brattje01
8,Will Butcher,D,5-10,190,L/-,3,January 6 1995,butchwi01
5,Connor Carrick,D,5-11,192,R/-,6,April 13 1994,carrico01
1,Eric Comrie,G,6-1,175,-/-,4,July 6 1995,comrier01
47,Aaron Dell,G,6-0,209,-/-,4,May 4 1989,dellaa01
25,Nolan Foote,LW,6-3,196,L/-,R,November 29 2000,footeno01
42,A.J. Greer,LW,6-3,210,L/-,3,December 14 1996,greeraj01
97,Nikita Gusev,LW,5-9,163,R/-,1,July 8 1992,gusevni01
13,Nico Hischier (C),C,6-1,175,L/-,3,January 4 1999,hischni01
86,Jack Hughes,C,5-11,175,L/-,1,May 14 2001,hugheja03
11,Andreas Johnsson,LW,5-10,194,L/-,3,November 21 1994,johnsan01
70,Dmitry Kulikov,D,6-1,204,L/-,11,October 29 1990,kulikdm01
59,Janne Kuokkanen,C/LW,6-1,193,L/-,3,May 25 1998,kuokkja01
23,Mikhail Maltsev,LW,6-3,198,L/-,R,March 12 1998,maltsmi01
20,Michael McLeod,C,6-2,190,R/-,2,February 3 1998,mcleomi01
39,Nicholas Merkley,RW,5-10,195,R/-,2,May 23 1997,merklni01
22,Ryan Murray,D,6-1,206,L/-,7,September 27 1993,murrary01
21,Kyle Palmieri,RW,6-0,190,R/-,10,February 1 1991,palmiky01
28,Damon Severson,D,6-2,205,R/-,6,August 7 1994,severda01
17,Yegor Sharangovich,C,6-2,196,L/-,R,June 6 1998,sharaye01
71,Jonas Siegenthaler,D,6-2,218,L/-,2,May 6 1997,siegejo01
24,Ty Smith,D,5-11,180,L/-,R,March 24 2000,smithty01
67,Marian Studenic,RW,6-1,181,L/-,R,October 28 1998,studema01
76,P.K. Subban,D,6-0,210,R/-,11,May 13 1989,subbapk01
7,Matt Tennyson,D,6-2,205,R/-,7,April 23 1990,tennyma01
12,Tyce Thompson,RW,6-1,175,R/-,R,July 12 1999,thompty01
45,Sami Vatanen,D,5-10,185,R/-,8,June 3 1991,vatansa01
41,Scott Wedgewood,G,6-2,205,-/-,2,August 14 1992,wedgesc01
2,Colton White,D,6-1,188,L/-,2,May 3 1997,whiteco03
44,Miles Wood,LW,6-2,195,L/-,5,September 13 1995,woodmi01
37,Pavel Zacha,C,6-3,210,L/-,5,April 6 1997,zachapa01
19,Travis Zajac,C,6-2,185,R/-,14,May 13 1985,zajactr01
