 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
57,Wade Allison,RW,6-2,205,R/-,R,October 14 1997,alliswa01
10,Andy Andreoff,LW,6-1,208,L/-,5,May 17 1991,andrean01
62,Nicolas Aube-Kubel,RW,5-11,214,R/-,2,May 10 1996,aubekni01
61,Justin Braun,D,6-2,203,R/-,10,February 10 1987,braunju01
82,Connor Bunnaman,F,6-1,220,L/-,1,April 16 1998,bunnaco01
59,Jackson Cates,C,6-0,190,L/-,R,September 28 1997,catesja01
14,Sean Couturier,C,6-3,206,L/-,9,December 7 1992,coutuse01
37,Brian Elliott,G,6-2,208,-/L,13,April 9 1985,elliobr01
86,Joel Farabee,LW,6-0,183,L/-,1,February 25 2000,farabjo01
3,Mark Friedman,D,5-11,185,R/-,2,December 25 1995,friedma01
48,Morgan Frost,C,6-0,191,L/-,1,May 14 1999,frostmo01
28,Claude Giroux (C),C/LW,5-11,190,R/-,13,January 12 1988,giroucl01
53,Shayne Gostisbehere,D,5-11,180,L/-,6,April 20 1993,gostish01
56,Erik Gustafsson,D,6-0,197,L/-,4,March 14 1992,gustaer02
8,Robert Hagg,D,6-2,204,L/-,4,February 8 1995,haggro01
79,Carter Hart,G,6-2,188,-/L,2,August 13 1998,hartca01
13,Kevin Hayes,RW,6-5,218,L/-,6,May 8 1992,hayeske01
72,David Kase,RW,5-11,170,L/-,1,January 28 1997,kaseda01
11,Travis Konecny,C,5-10,187,R/-,4,March 11 1997,konectr01
58,Tanner Laczynski,C,6-1,190,R/-,R,June 1 1997,laczyta01
21,Scott Laughton,C,6-1,185,L/-,7,May 30 1994,laughsc01
23,Oskar Lindblom,LW,6-1,191,L/-,3,August 15 1996,lindbos01
34,Alex Lyon,G,6-1,201,-/-,3,December 9 1992,lyonal01
55,Samuel Morin,D,6-6,230,L/-,4,July 12 1995,morinsa01
5,Philippe Myers,D,6-5,210,R/-,2,January 25 1997,myersph01
19,Nolan Patrick,C,6-2,198,R/-,2,September 19 1998,patrino01
39,Nate Prosser,D,6-2,201,R/-,10,May 7 1986,prossna01
9,Ivan Provorov,D,6-1,215,L/-,4,January 13 1997,provoiv01
12,Michael Raffl,LW,6-1,205,L/-,7,December 1 1988,rafflmi01
6,Travis Sanheim,D,6-3,208,L/-,3,March 29 1996,sanhetr01
64,Maksim Sushko,RW,5-11,210,L/-,R,February 10 1999,sushkma01
81,Carsen Twarynski,F,6-2,198,L/-,1,November 24 1997,twaryca01
25,James van Riemsdyk,LW,6-3,212,L/-,11,May 4 1989,vanrija01
93,Jakub Voracek,RW,6-2,214,L/-,12,August 15 1989,voracja01
45,Cameron York,D,6-0,185,L/-,R,January 5 2001,yorkca01
54,Yegor Zamula,D,6-5,185,L/-,R,March 30 2000,zamulye01
