 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
24,Zach Bogosian,D,6-2,222,R/-,11,July 15 1990,bogosza01
81,Erik Cernak,D,6-4,224,R/-,1,May 28 1997,cernaer01
71,Anthony Cirelli,C,6-0,189,L/-,2,July 15 1997,cirelan01
55,Braydon Coburn,D,6-5,224,L/-,14,February 27 1985,coburbr01
20,Blake Coleman,C,5-11,207,L/-,3,November 28 1991,colembl01
89,Cory Conacher,LW,5-8,180,L/-,6,December 14 1989,conacco01
33,Cameron Gaunce,D,6-1,210,L/-,4,March 19 1990,gauncca01
19-23,Barclay Goodrow,RW,6-2,203,L/-,5,February 26 1993,goodrba01
37,Yanni Gourde,C,5-9,173,L/-,4,December 15 1991,gourdya01
77,Victor Hedman,D,6-7,244,L/-,10,December 18 1990,hedmavi01
9,Tyler Johnson,C,5-8,185,R/-,7,July 29 1990,johnsty01
7,Mathieu Joseph,RW,6-1,187,L/-,1,February 9 1997,josepma01
17,Alex Killorn,C/LW,6-1,194,L/-,7,September 14 1989,killoal01
86,Nikita Kucherov,RW,5-11,181,L/-,6,June 17 1993,kucheni01
14,Pat Maroon,LW,6-3,234,L/-,8,April 23 1988,maroopa01
27,Ryan McDonagh,D,6-1,215,L/-,9,June 13 1989,mcdonry01
35,Curtis McElhinney,G,6-2,203,L/L,11,May 23 1983,mcelhcu01
18,Ondrej Palat,LW,6-0,194,L/-,7,March 28 1991,palaton01
13,Cedric Paquette,C,6-0,204,L/-,6,August 13 1993,paquece01
21,Brayden Point,C,5-11,180,R/-,3,March 13 1996,pointbr01
44,Jan Rutta,D,6-3,204,R/-,2,July 29 1990,ruttaja02
2,Luke Schenn,D,6-2,226,R/-,11,November 2 1989,schenlu01
98,Mikhail Sergachev,D,6-1,217,L/-,3,June 25 1998,sergami01
22,Kevin Shattenkirk,D,6-0,212,R/-,9,January 29 1989,shattke01
46,Gemel Smith,C,5-10,203,L/-,3,April 16 1994,smithge02
91,Steven Stamkos (C),C,6-0,182,R/-,11,February 7 1990,stamkst01
67,Mitchell Stephens,C,5-11,190,R/-,R,February 5 1997,stephmi01
88,Andrei Vasilevskiy,G,6-4,220,-/-,5,July 25 1994,vasilan02
23,Carter Verhaeghe,C,6-2,180,L/-,R,August 14 1995,verhaca01
79-92,Alexander Volkov,RW,6-1,193,L/-,R,August 2 1997,volkoal01
28,Luke Witkowski,D,6-2,210,R/-,5,April 14 1990,witkolu01
