 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
49,Ivan Barbashev,C,6-0,187,L/-,4,December 14 1995,barbaiv01
50,Jordan Binnington,G,6-1,174,-/-,3,July 11 1993,binnijo01
9,Sammy Blais,LW,6-2,205,L/-,3,June 17 1996,blaissa01
41,Robert Bortuzzo,D,6-4,216,R/-,9,March 18 1989,borturo01
21,Tyler Bozak,C,6-1,199,R/-,11,March 19 1986,bozakty01
13,Kyle Clifford,LW,6-2,211,L/-,10,January 13 1991,cliffky01
61,Jacob de La Rose,LW,6-3,215,L/-,6,May 20 1995,delarja01
29,Vince Dunn,D,6-0,203,L/-,3,October 29 1996,dunnvi02
72,Justin Faulk,D,6-0,217,R/-,9,March 20 1992,faulkju01
4,Carl Gunnarsson,D,6-2,198,L/-,11,November 9 1986,gunnaca01
68,Mike Hoffman,C/LW,6-0,190,L/-,9,November 24 1989,hoffmmi02
35,Ville Husso,G,6-3,200,R/-,R,February 6 1995,hussovi01
54,Dakota Joshua,C,6-2,199,L/-,R,May 15 1996,joshuda01
37,Klim Kostin,C/LW,6-3,215,L/-,1,May 5 1999,kostikl01
47,Torey Krug,D,5-9,186,L/-,9,April 12 1991,krugto01
25,Jordan Kyrou,C,6-0,175,R/-,2,May 5 1998,kyroujo01
28,Mackenzie MacEachern,LW,6-2,193,L/-,2,March 9 1994,maceama01
77,Niko Mikkola,D,6-4,185,L/-,1,April 27 1996,mikkoni01
90,Ryan O'Reilly (C),C,6-1,216,L/-,11,February 7 1991,oreilry01
55,Colton Parayko,D,6-6,230,R/-,5,May 12 1993,parayco01
57,David Perron,LW,6-1,196,R/-,13,May 28 1988,perroda01
53,Austin Poganski,RW,6-1,198,R/-,1,February 16 1996,poganau01
39,Mitch Reinke,D,5-11,181,R/-,1,February 4 1996,reinkmi01
12,Zach Sanford,LW,6-4,207,L/-,3,November 9 1994,sanfoza01
36,Steven Santini,D,6-2,209,R/-,5,March 7 1995,santist01
6,Marco Scandella,D,6-3,211,L/-,10,February 23 1990,scandma01
10,Brayden Schenn,C,6-1,200,L/-,11,August 22 1991,schenbr01
17,Jaden Schwartz,C,5-10,190,L/-,9,June 25 1992,schwaja01
70,Oskar Sundqvist,C,6-3,220,R/-,5,March 23 1994,sundqos01
91,Vladimir Tarasenko,RW,6-0,225,L/-,8,December 13 1991,tarasvl01
18,Robert Thomas,C,6-0,188,R/-,2,July 2 1999,thomaro01
26,Nathan Walker,C,5-9,186,L/-,3,February 7 1994,walkena01
46,Jake Walman,D,6-2,215,L/-,1,February 20 1996,walmaja01
