 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
74,Nicolas Beaudin,D,5-11,168,L/-,1,October 9 1999,beaudni01
27,Adam Boqvist,D,5-11,179,R/-,1,August 15 2000,boqviad01
29,Madison Bowey,D,6-2,202,R/-,3,April 22 1995,boweyma01
46,Lucas Carlsson,D,6-0,189,L/-,1,July 5 1997,carlslu01
22,Ryan Carpenter,C,6-0,200,R/-,5,January 18 1991,carpery01
20,Brett Connolly,RW,6-3,198,R/-,9,May 2 1992,connobr01
77,Kirby Dach,C,6-4,212,R/-,1,January 21 2001,dachki01
44,Calvin de Haan,D,6-1,195,L/-,8,May 9 1991,dehaaca01
12,Alex DeBrincat,RW,5-8,178,R/-,3,December 18 1997,debrial01
60,Collin Delia,G,6-2,208,-/-,2,June 20 1994,deliaco01
58,Mackenzie Entwistle,RW,6-3,184,R/-,R,July 14 1999,entwima01
11,Adam Gaudette,C,6-1,170,R/-,3,October 3 1996,gaudead01
38,Brandon Hagel,LW,6-2,179,L/-,1,August 27 1998,hagelbr01
86,Mike Hardman,RW,6-2,204,L/-,R,February 5 1999,hardmmi01
36,Matthew Highmore,LW,5-11,188,L/-,2,February 27 1996,highmma01
28,Vinnie Hinostroza,C,5-10,177,R/-,5,April 3 1994,hinosvi01
13,Mattias Janmark,C,6-1,195,L/-,4,December 8 1992,janmama02
52,Reese Johnson,F,6-1,193,R/-,R,July 10 1998,johnsre01
48,Wyatt Kalynuk,D,6-1,180,L/-,R,April 14 1997,kalynwy01
64,David Kampf,C,6-2,197,L/-,3,January 12 1995,kampfda01
88,Patrick Kane,RW,5-10,177,L/-,13,November 19 1988,kanepa01
2,Duncan Keith,D,6-1,193,L/-,15,July 16 1983,keithdu01
8,Dominik Kubalík,LW,6-2,190,L/-,1,August 21 1995,kubaldo01
23,Philipp Kurashev,C,6-0,190,L/-,R,October 12 1999,kurasph01
32,Kevin Lankinen,G,6-2,185,-/L,R,April 28 1995,lankike01
51,Ian Mitchell,D,5-11,173,R/-,R,January 18 1999,mitchia01
5,Connor Murphy,D,6-4,212,R/-,7,March 26 1993,murphco02
73,Brandon Pirri,C,6-0,186,L/-,10,April 10 1991,pirribr01
75,Alec Regula,D,6-4,208,R/-,R,August 6 2000,regulal01
65,Andrew Shaw,C,5-11,182,R/-,9,July 20 1991,shawan01
34,Carl Soderberg,C,6-3,210,L/-,8,October 12 1985,soderca01
61,Riley Stillman,D,6-1,196,L/-,2,March 9 1998,stillri01
17,Dylan Strome,C,6-3,200,L/-,4,March 7 1997,stromdy01
30,Malcolm Subban,G,6-2,200,-/-,5,December 21 1993,subbama01
24,Pius Suter,F,5-11,179,L/-,R,May 24 1996,suterpi01
71,Lucas Wallmark,C,6-0,178,L/-,4,September 5 1995,wallmlu01
16,Nikita Zadorov,D,6-6,235,L/-,7,April 16 1995,zadorni01
