Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
92,Rudolfs Balcers,LW,5-11,180,L/-,3,April 8 1997,balceru01
94,Alexander Barabanov,F,5-10,192,L/-,1,June 17 1994,barabal01
13,Nick Bonino,C,6-1,195,L/-,12,April 20 1988,boninni01
23,Thomas Bordeleau,C,5-10,175,L/-,R,January 3 2002,bordeth01
88,Brent Burns,D/RW,6-5,230,R/-,17,March 9 1985,burnsbr01
55,Sasha Chmelevski,C,6-0,188,R/-,1,June 9 1999,chmelal01
11,Andrew Cogliano,LW/C,5-10,175,L/-,14,June 14 1987,coglian01
39,Logan Couture (C),C,6-1,200,L/-,12,March 28 1989,coutulo01
76,Jonathan Dahlen,C,5-11,180,L/-,R,December 20 1997,dahlejo01
14,Ryan Dzingel,C,6-0,190,L/-,6,March 9 1992,dzingry01
72,William Eklund,LW,5-10,175,L/-,R,October 12 2002,eklunwi01
38,Mario Ferraro,D,5-11,185,L/-,2,September 17 1998,ferrama01
42,Jonah Gadjovich,LW,6-2,209,L/-,1,October 12 1998,gadjojo01
73,Noah Gregor,C,6-0,185,L/-,2,July 28 1998,gregono01
89,Jayden Halbgewachs,F,5-8,160,L/-,R,March 22 1997,halbgja01
61,Santeri Hatakka,D,6-1,191,L/-,R,January 15 2001,hataksa01
48,Tomas Hertl,C,6-2,215,L/-,8,November 12 1993,hertlto01
33,Adin Hill,G,6-6,200,-/L,4,May 11 1996,hillad01
34,Kaapo Kahkonen,G,6-2,215,L/-,2,August 16 1996,kahkoka01
65,Erik Karlsson,D,6-0,190,R/-,12,May 31 1990,karlser01
25,Artemi Kniazev,D,5-11,180,L/-,R,January 4 2001,kniazar01
62,Kevin Labanc,RW,5-11,185,R/-,5,December 12 1995,labanke01
43,John Leonard,LW,5-11,196,L/-,1,August 7 1998,leonajo01
24,Jaycob Megna,D,6-6,220,L/-,3,December 10 1992,megnaja02
28,Timo Meier,RW,6-0,210,L/-,5,October 8 1996,meierti01
53,Nicolas Meloche,D,6-3,205,R/-,1,July 18 1997,melocni01
10,Nicholas Merkley,RW,5-10,195,R/-,3,May 23 1997,merklni01
6,Ryan Merkley,D,5-11,186,R/-,R,August 14 2000,merklry01
21,Jacob Middleton,D,6-3,219,L/-,3,January 2 1996,middlja01
83,Matthew Nieto,LW,5-11,185,L/-,8,November 5 1992,nietoma01
18,Lane Pederson,F,6-0,192,R/-,1,August 4 1997,pederla01
57,Adam Raska,RW,5-10,183,R/-,R,September 25 2001,raskaad01
54,Scott Reedy,C,6-1,203,R/-,R,April 4 1999,reedysc01
47,James Reimer,G,6-2,220,-/L,11,March 15 1988,reimeja01
36,Zachary Sawchenko,G,6-1,185,-/L,R,December 30 1997,sawchza01
51,Radim Simek,D,6-0,200,L/-,3,September 20 1992,simekra01
,Alex Stalock,G,5-11,170,L/L,9,July 28 1987,staloal01
63,Jeffrey Viel,F,6-2,205,L/-,1,January 28 1997,vielje01
44,Marc-Edouard Vlasic,D,6-1,205,L/-,15,March 30 1987,vlasima01
26,Jasper Weatherby,C,6-4,222,L/-,R,January 22 1998,weathja01
