Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Xavier Ouellet,D,12,0,2,0,4,8,167,15,24,0,0,ouellxa01
Alex Ovechkin,LW,68,48,19,-12,30,311,1405,30,184,1,0,ovechal01
Max Pacioretty,LW,71,32,34,18,44,307,1272,35,90,51,45,pacioma01
Jean-Gabriel Pageau,C,67,26,16,4,49,151,1284,53,128,615,534,pageaje01
Ondrej Palat,LW,69,17,24,25,22,128,1117,61,145,7,14,palaton01
Kyle Palmieri,RW,65,25,20,-4,41,155,1112,36,74,12,25,palmiky01
Artemi Panarin,LW,69,32,63,36,20,209,1422,18,25,1,1,panarar01
Richard Panik,RW,59,9,13,16,36,67,669,19,75,11,8,panikri01
Cedric Paquette,C,61,7,11,-1,42,78,796,49,175,316,305,paquece01
Colton Parayko,D,64,10,18,8,16,162,1472,106,87,0,0,parayco01
Zach Parise,LW,69,25,21,-11,8,155,1187,38,27,41,36,parisza01
David Pastrnak,RW,70,48,47,21,40,279,1327,22,47,7,11,pastrda01
Greg Pateryn,D,20,0,3,1,6,22,309,30,25,0,0,patergr01
Nick Paul,LW,56,9,11,0,24,103,809,39,122,191,182,paulni01
Joe Pavelski,C,67,14,17,6,29,125,1134,52,62,351,301,paveljo01
Tanner Pearson,LW,69,21,24,-4,27,164,1139,40,96,3,14,pearsta01
Matthew Peca,C,14,0,2,-4,0,7,146,4,15,43,36,pecama01
Andrew Peeke,D,22,1,2,1,4,23,305,21,25,0,0,peekean01
Adam Pelech,D,38,1,8,4,20,49,803,83,81,0,0,pelecad01
Brendan Perlini,LW,40,1,3,-18,10,48,428,10,22,0,0,perlibr01
Mathieu Perreault,C,49,7,8,-9,10,71,642,19,69,13,6,perrema01
David Perron,LW,71,25,35,2,52,166,1300,19,67,3,5,perroda01
Corey Perry,RW,57,5,16,-2,70,77,782,33,60,4,6,perryco01
Joel Persson,D,13,0,2,-1,2,17,199,10,6,0,0,perssjo02
Brett Pesce,D,61,4,14,7,27,104,1335,91,22,0,0,pescebr01
Nic Petan,C,16,0,3,-4,4,19,178,4,7,1,3,petanni01
Jeff Petry,D,71,11,29,-10,26,158,1679,79,177,0,0,petryje01
Elias Pettersson,C,68,27,39,16,18,162,1260,42,63,59,82,petteel01
Marcus Pettersson,D,69,2,20,9,35,79,1339,84,106,0,0,pettema01
Alex Pietrangelo,D,70,16,36,11,20,225,1693,89,47,0,0,pietral01
Lawrence Pilut,D,13,0,0,-4,4,6,211,19,10,0,0,pilutla01
Neal Pionk,D,71,6,39,10,32,177,1660,78,165,0,0,pionkne01
Brandon Pirri,C,16,0,2,-4,8,24,201,5,16,6,3,pirribr01
