Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Colton White,D,6,0,0,-2,4,2,84,4,3,0,0,whiteco03
Zach Whitecloud,D,16,0,1,3,4,9,229,16,10,0,0,whiteza01
Justin Williams,RW,20,8,3,2,6,60,272,7,20,3,7,williju01
Colin Wilson,C,9,0,4,6,0,12,114,2,8,3,4,wilsoco01
Scott Wilson,C,6,1,1,1,2,8,70,0,3,0,0,wilsosc01
Tom Wilson,RW,68,21,23,-3,93,154,1242,58,253,18,39,wilsoto01
Luke Witkowski,D,12,1,2,-4,13,10,106,3,38,0,0,witkolu01
Christian Wolanin,D,3,0,0,1,0,4,53,4,0,0,0,wolanch01
Miles Wood,LW,68,11,12,-19,57,141,900,26,102,0,1,woodmi01
Kailer Yamamoto,RW,27,11,15,17,12,44,469,13,45,1,0,yamamka01
Keith Yandle,D,69,5,40,0,20,129,1359,51,18,0,1,yandlke01
Alexander Yelesin,D,4,0,0,0,0,2,50,0,13,0,0,yelesal01
Danil Yurtaykin,F,4,0,0,-1,0,2,52,2,3,0,0,yurtada01
Pavel Zacha,C,65,8,24,-12,14,97,1057,19,62,283,371,zachapa01
Filip Zadina,RW,28,8,7,-13,2,60,425,10,11,1,0,zadinfi01
Nikita Zadorov,D,64,4,9,6,65,65,1137,66,175,0,0,zadorni01
Nikita Zaitsev,D,58,1,11,-8,22,64,1285,121,108,0,0,zaitsni01
Travis Zajac,C,69,9,16,-12,28,72,1180,39,58,576,514,zajactr01
Mika Zibanejad,C,57,41,34,9,14,208,1233,49,51,592,612,zibanmi01
Mats Zuccarello,LW,65,15,22,-9,18,96,1036,36,13,9,5,zuccama01
Jason Zucker,LW,60,20,21,-4,21,111,980,23,53,12,29,zuckeja01
Valentin Zykov,LW,15,1,3,-2,6,19,183,3,20,0,1,zykovva01
