Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,id
Brad Marchand,LW,70,32,48,16,97,242,1347,20,78,14,27,marchbr03
Jonathan Marchessault,C,76,30,36,3,36,251,1335,17,61,43,57,audymjo01
Mason Marchment,F,54,18,29,29,53,121,762,9,114,11,29,marchma01
John Marino,D,81,1,24,1,23,90,1672,88,73,0,0,marinjo01
Mitch Marner,RW,72,35,62,23,16,224,1504,31,75,10,8,marnemi01
Cooper Marody,C,1,0,1,0,0,1,6,0,0,0,0,marodco01
Pat Maroon,LW,81,11,16,20,134,102,1004,11,160,15,15,maroopa01
Matt Martin,LW,71,3,4,-2,70,66,812,26,235,8,11,martima02
Alec Martinez,D,26,3,5,6,4,32,508,68,26,0,0,martial01
Jordan Martinook,LW,59,6,9,1,22,77,661,11,83,23,28,martijo01
Mike Matheson,D,74,11,20,12,33,140,1391,81,97,0,0,mathemi01
Stefan Matteau,LW,1,0,0,0,0,0,4,0,0,0,0,mattest02
Auston Matthews,C,73,60,46,20,18,348,1504,62,67,691,538,matthau01
Scott Mayfield,D,61,3,15,-5,55,80,1206,109,77,0,0,mayfisc01
Gerald Mayhew,F,40,11,1,-6,18,53,527,26,58,3,7,mayhege01
Dysin Mayo,D,67,4,8,-22,27,76,1401,133,129,0,0,mayody01
Charlie McAvoy,D,78,10,46,31,66,166,1922,130,155,0,0,mcavoch01
Jack McBain,C,10,2,1,-6,6,13,142,9,33,35,68,mcbaija03
Jake McCabe,D,75,4,18,-27,33,80,1523,167,166,0,0,mccabja01
Jared McCann,C,74,27,23,-26,33,199,1194,29,65,224,268,mccanja01
Michael McCarron,RW,51,7,7,10,70,51,530,31,116,192,161,mccarmi01
Ben McCartney,F,2,0,0,0,4,2,28,0,7,0,1,mccarbe02
Max McCormick,LW,10,0,0,1,10,8,81,3,11,2,2,mccorma01
Connor McDavid,C,80,44,79,28,45,314,1765,26,75,562,484,mcdavco01
Ryan McDonagh,D,71,4,22,15,16,85,1594,137,96,0,1,mcdonry01
Brock McGinn,LW,64,12,10,0,14,99,960,50,94,16,28,mcginbr01
Greg McKegg,C,43,2,3,-11,6,25,467,22,50,72,88,mckeggr01
Marc McLaughlin,F,11,3,0,-1,8,12,115,2,15,5,10,mclauma01
Michael McLeod,C,77,6,14,-13,52,78,1026,34,145,604,451,mcleomi01
Ryan McLeod,C,71,9,12,-2,12,82,906,25,28,248,277,mcleory01
Connor McMichael,C,68,9,9,-3,10,105,712,22,46,148,197,mcmicco01
Brayden McNabb,D,69,3,15,10,42,85,1359,179,154,0,0,mcnabbr01
Mason Mctavish,C,9,2,1,3,2,12,118,6,8,0,3,mctavma01
Jaycob Megna,D,44,2,6,-1,16,40,841,92,71,0,0,megnaja02
Jayson Megna,C,20,0,3,-2,4,19,206,9,27,56,60,megnaja01
Timo Meier,RW,77,35,41,-3,54,326,1475,61,162,18,19,meierti01
Nicolas Meloche,D,50,2,5,-17,39,36,844,54,158,0,0,melocni01
Dawson Mercer,C,82,17,25,-25,28,154,1356,35,26,209,381,merceda01
Nicholas Merkley,RW,9,1,2,-2,0,7,112,2,9,6,5,merklni01
Ryan Merkley,D,39,1,5,-10,8,36,600,22,12,0,0,merklry01
Dakota Mermis,D,2,0,0,2,0,1,28,1,3,0,0,mermida01
Jonathon Merrill,D,69,4,16,15,22,59,1181,112,46,0,0,merrijo01
Victor Mete,D,37,0,7,-19,4,27,541,38,13,0,0,metevi01
Carson Meyer,RW,13,1,2,0,6,13,107,2,27,0,0,meyerca01
Ben Meyers,F,5,1,0,-2,0,8,50,1,1,11,13,meyerbe01
Jacob Middleton,D,66,4,10,10,82,73,1233,124,118,0,0,middlja01
Ilya Mikheyev,F,53,21,11,16,26,147,809,18,52,0,2,mikheil01
Niko Mikkola,D,54,3,10,-6,55,58,917,81,109,0,0,mikkoni01
Sonny Milano,LW,66,14,20,-9,10,94,1008,15,27,0,2,milanso01
Colin Miller,D,38,2,12,-2,21,48,721,42,50,0,0,milleco02
J.T. Miller,C,80,32,67,15,47,206,1686,56,172,667,566,millejt01
K'Andre Miller,D,82,7,13,23,24,102,1690,95,151,0,0,milleka01
Daniil Miromanov,D,11,0,1,0,2,15,108,6,5,0,0,miromda01
Ian Mitchell,D,8,0,1,-3,0,2,95,9,2,0,0,mitchia01
Casey Mittelstadt,C,40,6,13,-14,4,79,645,12,19,202,250,mitteca01
Sean Monahan,C,65,8,15,-15,24,111,914,24,59,414,365,monahse01
Brandon Montour,D,81,11,26,15,48,153,1450,65,64,0,0,montobr01
John Moore,D,7,0,1,2,4,7,123,11,9,0,0,moorejo01
Trevor Moore,LW,81,17,31,20,20,202,1271,32,69,28,39,mooretr01
Josh Morrissey,D,79,12,25,-3,66,173,1869,104,150,0,0,morrijo04
J.J. Moser,D,43,4,11,-10,16,40,804,55,32,0,0,moserja01
Tyler Motte,C,58,7,8,2,22,101,813,58,117,11,8,mottety01
Jacob Moverare,D,19,0,2,3,2,15,310,21,16,0,0,moverja01
Connor Murphy,D,57,4,6,-14,47,71,1240,150,130,0,0,murphco02
Brett Murray,LW,19,2,4,-3,23,14,247,2,17,0,0,murrabr02
Ryan Murray,D,37,0,4,-3,2,26,521,41,32,0,0,murrary01
Jake Muzzin,D,47,3,11,-6,16,75,974,60,105,0,0,muzzija01
Philippe Myers,D,27,1,3,5,12,28,402,17,50,0,0,myersph01
Tyler Myers,D,82,1,17,15,66,128,1802,148,145,0,0,myersty01
Vladislav Namestnikov,C,75,16,14,2,45,91,1099,39,62,26,31,namesvl01
Riley Nash,C,49,0,4,-5,10,36,560,17,46,207,190,nashri02
James Neal,LW,19,2,2,-1,0,31,227,3,17,0,2,nealja01
Martin Necas,C,78,14,26,5,32,159,1263,19,55,38,47,necasma01
Jake Neighbours,LW,9,1,1,-2,2,8,84,1,10,1,2,neighja01
Brock Nelson,C,72,37,22,-5,33,171,1273,43,31,476,488,nelsobr01
Patrik Nemeth,D,63,2,5,-9,28,52,1048,102,115,0,0,nemetpa01
Alex Newhook,C,71,13,20,11,12,113,963,36,40,136,256,newhoal01
Valeri Nichushkin,RW,62,25,27,21,14,180,1180,27,89,0,5,nichuva01
Nino Niederreiter,RW,75,24,20,29,34,144,1113,17,119,19,20,niedeni01
Markus Niemelainen,D,20,0,1,-5,4,12,264,19,82,0,0,niemema01
Matthew Nieto,LW,70,6,11,-20,19,82,1008,47,96,2,11,nietoma01
Sami Niku,D,13,0,6,3,2,14,199,17,6,0,0,nikusa01
Stefan Noesen,RW,2,0,0,1,0,4,29,0,5,0,0,noesest01
Mattias Norlinder,D,6,0,1,2,2,2,74,3,4,0,0,norlima01
Joshua Norris,C,66,35,20,-7,16,172,1226,44,79,529,507,norrijo01
Tomas Nosek,C,75,3,14,-9,32,84,1001,34,85,362,310,nosekto01
Thomas Novak,C,27,1,6,-4,2,25,318,6,4,62,79,novakth01
Ryan Nugent-Hopkins,C,63,11,39,3,16,154,1217,34,42,178,259,nugenry01
Darnell Nurse,D,71,9,26,18,54,203,1778,132,196,0,0,nurseda01
Markus Nutivaara,D,1,0,1,0,0,0,7,0,1,0,0,nutivma01
William Nylander,C,81,34,46,-9,16,256,1480,30,19,34,31,nylanwi01
Gustav Nyquist,RW,82,18,35,-12,26,122,1463,51,41,14,16,nyquigu01
Liam O'Brien,C,39,2,1,1,106,36,370,10,139,5,5,obrieli01
Drew O'Connor,F,22,3,2,-1,4,40,226,7,12,18,34,oconndr01
Logan O'Connor,RW,81,8,16,10,38,127,1124,59,100,5,17,oconnlo01
Danny O'Regan,C,5,0,1,-1,0,2,50,4,3,11,17,oregada01
Ryan O'Reilly,C,78,21,37,11,12,168,1488,38,20,900,685,oreilry01
Jordan Oesterle,D,45,2,6,-7,4,63,823,44,27,0,0,oestejo01
Nikita Okhotyuk,D,5,1,1,-2,2,5,75,1,16,0,0,okhotni01
Kyle Okposo,RW,74,21,24,-15,43,174,1241,19,59,92,93,okposky01
Jamie Oleksiak,D,72,1,16,-1,54,95,1392,86,182,0,0,oleksja01
Mathieu Olivier,F,10,0,1,-3,14,5,101,4,23,0,1,olivima01
Victor Olofsson,RW,72,20,29,-16,6,164,1108,15,10,0,1,olofsvi01
Dmitry Orlov,D,76,12,23,25,44,127,1593,94,124,0,0,orlovdm01
T.J. Oshie,C,44,11,14,-12,18,77,768,30,86,72,97,oshietj01
Alex Ovechkin,LW,77,50,40,8,18,334,1584,25,156,4,9,ovechal01
Brayden Pachal,D,2,0,0,-2,0,1,20,1,2,0,0,pachabr01
Max Pacioretty,LW,39,19,18,8,33,148,678,21,30,2,7,pacioma01
Jean-Gabriel Pageau,C,77,18,21,0,30,126,1361,53,171,748,604,pageaje01
Ondrej Palat,LW,77,18,31,15,20,143,1270,42,124,2,16,palaton01
Kyle Palmieri,RW,69,15,18,0,57,156,1078,18,77,15,36,palmiky01
Artemi Panarin,LW,75,22,74,21,18,177,1441,14,22,1,1,panarar01
Richard Panik,RW,4,0,1,-2,0,4,60,2,9,1,1,panikri01
Cedric Paquette,C,24,0,2,-6,25,16,213,14,58,31,73,paquece01
Colton Parayko,D,80,6,29,16,18,135,1885,169,72,0,0,parayco01
Zach Parise,LW,82,15,20,-2,28,138,1253,57,60,28,47,parisza01
David Pastrnak,RW,72,40,37,13,20,312,1340,14,63,7,14,pastrda01
Greg Pateryn,D,10,1,1,0,10,16,141,7,18,0,0,patergr01
Nolan Patrick,C,25,2,5,1,6,34,288,3,26,83,89,patrino01
Nick Paul,LW,80,16,16,-14,39,166,1321,56,106,426,419,paulni01
Joe Pavelski,C,82,27,54,11,14,216,1515,69,104,394,357,paveljo01
Chase Pearson,C,3,0,0,0,0,2,20,0,4,2,2,pearsch01
Tanner Pearson,LW,68,14,20,9,30,159,1092,41,84,20,37,pearsta01
Matthew Peca,C,5,0,1,-1,0,3,48,1,3,5,7,pecama01
Lane Pederson,F,29,0,2,-16,10,24,305,10,54,42,54,pederla01
Andrew Peeke,D,82,2,13,-14,60,72,1761,169,191,0,0,peekean01
Adam Pelech,D,78,3,25,20,42,104,1660,128,99,0,0,pelecad01
Cole Perfetti,C,18,2,5,1,0,21,255,2,17,0,3,perfeco01
Brendan Perlini,LW,23,4,1,-2,6,24,193,3,29,0,1,perlibr01
Jacob Perreault,RW,1,0,0,-1,0,0,11,1,0,0,0,perreja01
Mathieu Perreault,C,25,4,5,2,4,27,281,11,35,36,35,perrema01
David Perron,LW,67,27,30,8,48,177,1138,11,80,1,3,perroda01
Corey Perry,RW,82,19,21,9,66,153,1109,28,73,2,2,perryco01
Scott Perunovich,D,19,0,6,2,8,14,294,12,5,0,0,perunsc01
Brett Pesce,D,70,7,21,5,39,148,1519,99,39,0,0,pescebr01
Nic Petan,C,18,0,2,-2,4,21,185,3,6,14,32,petanni01
John-Jason Peterka,RW,2,0,0,0,0,3,32,2,1,0,0,peterjo01
Jacob Peterson,C,65,12,5,-1,12,85,719,23,22,59,56,peterja01
Jeff Petry,D,68,6,21,-11,36,124,1504,117,140,0,0,petryje01
