Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Vitaly Abramov,RW,2,0,0,0,0,0,19,0,0,0,0,abramvi01
Noel Acciari,C,41,4,7,0,9,68,631,63,91,272,247,acciano01
Calen Addison,D,3,0,0,0,0,4,56,1,2,0,0,addisca01
Kenny Agostino,LW,1,0,0,0,0,0,4,0,0,0,0,agostke01
Andrew Agozzino,LW,3,0,1,0,0,3,37,7,6,16,16,agozzan01
Jack Ahcan,D,3,0,0,-3,0,5,62,5,2,0,0,ahcanja01
Sebastian Aho,F,56,24,33,16,32,148,1090,25,38,365,327,ahose01
Sebastian Aho,D,3,1,1,-1,2,4,40,2,1,0,0,ahose02
Frederic Allard,D,1,0,0,-2,0,0,17,1,0,0,0,allarfr01
Wade Allison,RW,14,4,3,1,4,24,181,10,28,0,1,alliswa01
Olle Alsing,D,4,0,0,-1,0,1,43,2,4,0,0,alsinol01
Mark Alt,D,2,0,0,0,2,3,27,1,2,0,0,altma01
Michael Amadio,C,25,0,3,-3,4,24,314,16,8,94,94,amadimi01
Joey Anderson,RW,1,0,0,1,2,0,10,3,0,0,1,anderjo08
Josh Anderson,RW,52,17,7,-10,38,125,854,25,139,7,5,anderjo05
Michael Anderson,D,54,1,10,0,30,52,1144,74,66,0,0,andermi02
Jaret Anderson-Dolan,C,34,7,4,-9,6,37,459,20,52,132,170,anderja01
Lias Andersson,C,23,3,3,-4,12,23,278,9,8,20,32,anderli01
Rasmus Andersson,D,56,5,16,-9,34,96,1189,68,49,0,0,anderra01
Andy Andreoff,LW,6,0,0,-6,9,2,52,1,14,15,9,andrean01
Anthony Angello,C,19,2,2,4,8,19,152,2,51,0,0,angelan01
Artem Anisimov,C,19,2,7,1,2,30,228,9,9,36,52,anisiar01
Mason Appleton,C,56,12,13,11,14,88,807,22,61,7,6,applema01
Josh Archibald,RW,52,7,6,2,37,62,704,35,192,4,4,archijo01
Joel Armia,RW,41,7,7,10,10,73,603,13,86,6,16,armiajo01
Viktor Arvidsson,LW,50,10,15,9,21,151,830,33,15,9,18,arvidvi01
Rasmus Asplund,F,28,7,4,1,0,34,360,3,15,6,11,asplura01
Zach Aston-Reese,C,45,9,6,10,15,79,658,24,95,7,11,astonza01
Andreas Athanasiou,C,47,10,13,-6,27,85,703,16,11,4,0,athanan01
Cam Atkinson,RW,56,15,19,-16,4,158,1060,30,22,7,23,atkinca01
Nicolas Aube-Kubel,RW,50,3,9,-3,44,53,559,16,120,2,2,aubekni01
David Backes,C,15,3,1,-4,4,30,191,16,31,81,79,backeda01
Mikael Backlund,C,54,9,23,-7,30,144,950,21,43,387,358,backlmi01
Nicklas Backstrom,C,55,15,38,0,14,91,1023,27,25,353,378,backsni02
Kevin Bahl,D,7,0,2,0,0,5,118,6,18,0,0,bahlke01
Josh Bailey,C,54,8,27,12,4,77,945,19,13,14,18,bailejo01
Justin Bailey,RW,3,0,0,-2,2,6,20,0,2,0,0,baileju01
Rudolfs Balcers,LW,41,8,9,-6,16,66,603,29,81,0,3,balceru01
Alexander Barabanov,F,22,3,5,1,6,23,271,14,7,0,0,barabal01
Ivan Barbashev,C,38,5,7,5,6,43,507,15,49,82,107,barbaiv01
Aleksander Barkov,C,50,26,32,12,14,176,1047,37,31,563,463,barkoal01
Alex Barre-Boulet,F,15,3,0,0,0,26,229,5,8,1,3,barreal01
Tyson Barrie,D,56,8,40,5,10,146,1198,59,26,0,0,barrity01
Morgan Barron,C,5,1,0,-1,2,3,68,2,12,9,9,barromo01
Matt Bartkowski,D,1,0,0,-1,0,2,13,1,1,0,0,bartkma01
Mathew Barzal,C,55,17,28,15,48,134,1030,13,22,152,198,barzama01
Nathan Bastian,RW,41,3,7,0,21,46,517,25,136,12,21,bastina01
Drake Batherson,C,56,17,17,-17,8,111,923,29,102,5,8,bathedr01
Gavin Bayreuther,D,9,1,0,-1,7,16,138,4,12,0,0,bayrega01
Jay Beagle,RW,30,1,4,-2,8,21,376,8,34,173,135,beaglja01
Jake Bean,D,42,1,11,-2,10,55,611,21,17,0,0,beanja01
Ethan Bear,D,43,2,6,-1,14,53,772,55,31,0,0,bearet01
Nicolas Beaudin,D,19,2,4,1,2,7,262,21,14,0,0,beaudni01
Nathan Beaulieu,D,25,0,1,-5,20,26,418,30,39,0,0,beaulna01
Anthony Beauvillier,LW,47,15,13,15,12,109,771,13,39,2,5,beauvan01
Pierre-Edouard Bellemare,LW,53,9,2,6,21,60,600,36,26,260,168,bellepi01
Kieffer Bellows,LW,14,3,0,0,4,19,154,5,36,2,2,belloki01
Louis Belpedio,D,1,0,0,-1,0,2,14,1,3,0,0,belpelo01
Alex Belzile,F,2,0,1,-1,0,3,21,0,2,4,1,belzial01
Emil Bemstrom,C,20,3,2,2,0,28,257,8,15,0,0,bemstem01
Jamie Benn,LW,52,11,24,13,33,124,925,27,73,268,210,bennja01
Jordie Benn,D,39,1,9,7,9,45,575,51,19,0,0,bennjo01
Sam Bennett,C,48,10,17,-2,52,106,692,18,108,124,137,bennesa01
Matt Benning,D,53,1,3,-1,30,43,865,53,55,0,0,bennima01
Simon Benoit,D,6,0,0,-3,2,3,103,9,20,0,0,benoisi01
Patrice Bergeron,C,54,23,25,27,16,182,984,36,49,714,433,bergepa01
Lean Bergmann,F,1,0,0,-1,4,1,10,1,3,0,0,bergmle01
Jacob Bernard-Docker,D,5,0,0,2,0,6,68,5,3,0,0,bernaja01
Tyler Bertuzzi,LW,9,5,2,0,4,20,177,3,13,1,1,bertuty01
Alex Biega,D,13,0,3,-1,4,4,139,11,22,0,0,biegaal01
Clark Bishop,C,13,0,3,2,4,16,123,8,23,36,35,bishocl01
Anthony Bitetto,D,14,1,3,-8,20,12,202,10,21,0,0,bitetan01
Anders Bjork,LW,45,5,6,-13,14,41,625,13,48,0,1,bjorkan01
Oliver Bjorkstrand,RW,56,18,26,-15,23,143,986,30,42,3,4,bjorkol01
Tobias Bjornfot,D,33,1,5,-3,14,30,556,34,28,0,0,bjornto01
