Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Nick Bjugstad,C,44,6,11,7,17,78,520,22,48,125,145,bjugsni01
Colin Blackwell,C,47,12,10,2,15,64,658,19,45,30,32,blackco01
Sammy Blais,LW,36,8,7,0,12,31,434,10,103,3,1,blaissa01
Joachim Blichfeld,W,5,1,0,-2,12,3,43,2,2,0,0,blichjo01
Anton Blidh,LW,10,1,0,-5,6,10,108,4,25,0,2,blidhan01
Teddy Blueger,C,43,7,15,10,16,49,639,25,53,201,212,bluegte01
Brock Boeser,RW,56,23,26,-3,16,141,1082,20,32,8,14,boesebr01
Zach Bogosian,D,45,0,4,7,49,36,654,31,67,0,0,bogosza01
Nick Bonino,C,55,10,16,0,26,66,817,50,11,365,326,boninni01
Adam Boqvist,D,35,2,14,-7,14,39,595,29,29,0,0,boqviad01
Jesper Boqvist,C,28,4,3,-5,2,34,312,10,15,28,45,boqvije01
William Borgen,D,10,0,0,-4,4,7,163,14,30,0,0,borgewi01
Andreas Borgman,D,7,0,2,-2,4,7,84,3,10,0,0,borgman01
Mark Borowiecki,D,22,0,1,-2,38,18,301,37,54,0,0,borowma01
Robert Bortuzzo,D,40,1,4,-3,47,31,567,49,85,0,0,borturo01
Evan Bouchard,D,14,2,3,-2,2,38,208,11,11,0,0,bouchev01
Madison Bowey,D,2,0,1,1,0,0,22,1,4,0,0,boweyma01
Travis Boyd,C,39,5,5,-5,2,23,418,15,18,75,85,boydtr01
Tyler Bozak,C,31,5,12,-3,10,35,462,20,17,217,165,bozakty01
Erik Brannstrom,D,30,2,11,3,25,42,491,18,26,0,0,branner01
Derick Brassard,C,53,8,12,-10,12,67,784,5,80,229,206,brassde01
Jesper Bratt,W,46,7,23,4,8,101,740,18,31,3,6,brattje01
Justin Braun,D,53,1,5,0,18,59,982,73,78,0,0,braunju01
Guillaume Brisebois,D,1,0,0,0,0,0,12,3,0,0,0,brisegu01
T.J. Brodie,D,56,1,13,23,12,48,1207,84,34,0,0,broditj01
Jonas Brodin,D,53,9,14,2,18,79,1189,99,35,0,0,brodijo01
Jonny Brodzinski,C,5,1,0,0,4,7,57,2,4,0,1,brodzjo01
Mathias Brome,F,26,1,1,-9,8,22,355,7,19,1,2,bromema01
Adam Brooks,C,11,4,1,4,0,10,117,2,14,7,10,brookad01
Connor Brown,RW,56,21,14,1,12,123,1022,30,22,12,15,brownco02
Dustin Brown,RW,49,17,14,-3,18,129,863,10,85,2,2,browndu01
Josh Brown,D,26,0,1,-1,30,8,368,40,71,0,0,brownjo01
Logan Brown,C,1,0,0,0,2,0,10,0,0,0,4,brownlo01
Patrick Brown,C,4,0,0,0,2,5,36,2,7,16,7,brownpa02
Jacob Bryson,D,38,1,8,-1,12,24,724,43,32,0,0,brysoja01
Pavel Buchnevich,LW,54,20,28,12,42,120,1012,29,49,4,14,buchnpa01
Connor Bunnaman,F,18,0,1,-6,2,15,208,6,31,56,48,bunnaco01
Michael Bunting,LW,21,10,3,-1,12,38,351,1,28,7,5,buntimi01
Andre Burakovsky,LW,53,19,25,4,10,102,800,16,22,2,2,burakan01
Brent Burns,D,56,7,22,-12,36,138,1463,94,31,0,0,burnsbr01
Kyle Burroughs,D,5,0,1,1,5,3,50,2,10,0,0,burroky01
Will Butcher,D,23,1,10,-3,2,37,438,28,7,0,0,butchwi01
Quinton Byfield,C,6,0,1,1,2,9,90,3,3,26,40,byfiequ01
Bowen Byram,D,19,0,2,1,23,21,333,13,33,0,0,byrambo01
Paul Byron,LW,46,5,11,5,12,44,591,22,116,11,15,byronpa01
Nicholas Caamano,RW,24,0,1,-7,17,33,224,8,41,1,0,caamani01
Drake Caggiula,LW,38,3,7,-6,19,46,471,9,64,5,8,caggidr01
Matt Calvert,LW,18,0,3,-2,6,26,249,8,12,0,1,calvema01
Kyle Capobianco,D,2,0,0,-2,2,3,29,2,1,0,0,capobky01
Brandon Carlo,D,27,3,1,1,12,43,505,35,38,0,0,carlobr01
John Carlson,D,52,10,34,-5,12,128,1237,69,52,0,0,carlsjo01
Gabriel Carlsson,D,14,1,3,-6,4,14,207,12,11,0,0,carlsga01
Lucas Carlsson,D,12,0,1,1,2,10,157,3,6,0,0,carlslu01
Ryan Carpenter,C,40,4,1,-10,19,51,508,17,78,61,65,carpery01
Daniel Carr,LW,6,0,1,-2,2,5,61,4,10,0,0,carrda01
Connor Carrick,D,11,1,1,-2,5,8,205,24,11,0,0,carrico01
Sam Carrick,C,13,2,4,4,28,23,168,3,29,33,30,carrisa01
Alexandre Carrier,D,19,1,2,3,8,31,381,31,22,0,0,carrial01
William Carrier,LW,52,6,9,0,16,65,541,13,131,3,5,carriwi01
Jeff Carter,C,54,17,13,3,22,154,895,30,41,153,161,carteje01
Jackson Cates,C,4,0,1,-3,0,7,42,0,0,13,11,catesja01
Cole Caufield,RW,10,4,1,-1,2,30,140,0,3,0,0,caufico01
Cody Ceci,D,53,4,13,18,10,58,981,70,74,0,0,cecico01
Erik Cernak,D,46,5,13,8,38,85,910,46,98,0,0,cernaer01
Thomas Chabot,D,49,6,25,-15,36,120,1288,72,68,0,0,chaboth01
Michael Chaput,C,13,0,0,-7,10,3,122,8,19,35,34,chapumi01
Zdeno Chara,D,55,2,8,5,44,67,1008,67,88,0,0,charazd01
Jalen Chatfield,D,18,0,1,-11,12,14,242,10,11,0,0,chatfja01
Ivan Chekhovich,LW,4,0,1,-3,0,5,42,2,0,0,0,chekhiv01
Ben Chiarot,D,41,1,6,-16,50,81,893,60,77,0,0,chiarbe01
Alex Chiasson,RW,45,9,7,-10,33,65,562,7,40,2,3,chiasal01
Filip Chlapik,C,1,0,0,1,0,1,7,0,1,0,0,chlapfi01
Sasha Chmelevski,C,5,0,2,-2,2,8,49,1,7,4,8,chmelal01
Dennis Cholowski,D,16,1,2,-1,4,10,254,18,5,0,0,cholode01
Jakob Chychrun,D,56,18,23,-6,42,176,1310,89,59,0,0,chychja01
Filip Chytil,C,42,8,14,9,10,76,555,19,15,130,174,chytifi01
Anthony Cirelli,C,50,9,13,0,10,75,887,32,64,227,235,cirelan01
Casey Cizikas,C,56,7,7,-2,27,72,775,25,112,340,299,cizikca01
Fredrik Claesson,D,6,0,0,0,12,4,74,7,10,0,0,claesfr01
Kale Clague,D,18,0,6,-6,4,24,310,13,9,0,0,claguka01
Kyle Clifford,LW,50,4,3,-5,30,65,497,17,69,6,6,cliffky01
Connor Clifton,D,44,1,6,10,38,48,802,52,108,0,0,cliftco01
Cal Clutterbuck,RW,50,4,7,-5,10,50,672,23,191,0,1,cluttca01
Braydon Coburn,D,19,0,2,-3,14,18,305,20,27,0,0,coburbr01
Dylan Coghlan,D,29,3,3,-3,2,31,391,16,29,0,1,coghldy01
Andrew Cogliano,LW,54,5,6,-8,24,88,752,24,79,4,11,coglian01
Ian Cole,D,54,1,7,21,32,30,857,94,38,0,0,coleia01
Blake Coleman,C,55,14,17,15,37,122,851,20,109,2,7,colembl01
Ross Colton,C,30,9,3,3,16,46,317,6,36,101,107,coltoro01
Blake Comeau,RW,51,4,10,-13,37,76,803,18,106,53,57,comeabl01
J.T. Compher,LW,48,10,8,10,19,47,682,38,32,216,255,comphj.01
Max Comtois,LW,55,16,17,3,40,94,851,34,93,12,22,comtoma01
Kevin Connauton,D,7,0,1,4,7,5,100,3,12,0,0,connake01
Brett Connolly,RW,31,3,3,3,4,26,376,8,44,4,9,connobr01
Kyle Connor,LW,56,26,24,-4,12,166,1049,18,18,6,4,connoky01
Andrew Copp,C,55,15,24,2,20,115,1004,41,67,123,109,coppan01
Nick Cousins,C,52,5,13,4,41,60,695,16,48,19,17,cousini01
Logan Couture,C,53,17,14,-10,25,114,1021,39,58,444,456,coutulo01
Sean Couturier,C,45,18,23,-4,8,120,870,22,34,427,323,coutuse01
Charlie Coyle,C,51,6,10,-4,20,79,831,24,57,245,262,coylech01
Dylan Cozens,C,41,4,9,-15,16,62,589,11,30,96,106,cozendy01
Joseph Cramarossa,C,4,0,1,-1,15,3,43,1,10,0,0,cramajo01
Sidney Crosby,C,55,24,38,8,26,159,1122,28,44,676,586,crosbsi01
Lawson Crouse,LW,51,4,9,-10,46,70,729,30,155,20,23,crousla01
Josh Currie,RW,1,0,0,0,0,0,7,0,0,2,3,currijo01
Austin Czarnik,C,4,0,0,-1,0,2,50,2,2,7,5,czarnau01
Kevin Czuczman,D,2,0,0,-3,0,2,23,2,1,0,0,czuczke01
Kirby Dach,C,18,2,8,-3,4,26,334,12,7,77,114,dachki01
Evgenii Dadonov,RW,55,13,7,-9,4,89,857,26,38,0,1,dadonev01
Rasmus Dahlin,D,56,5,18,-36,26,115,1210,45,80,0,0,dahlira01
Michael Dal Colle,LW,26,1,3,1,4,19,310,9,32,1,3,dalcomi01
Zac Dalpe,RW,12,2,1,-2,0,22,127,8,11,18,22,dalpeza01
Phillip Danault,C,53,5,19,9,24,73,894,28,76,476,431,danauph01
Brandon Davidson,D,6,0,0,-4,4,7,92,5,14,0,0,davidbr01
Jeremy Davies,D,16,0,1,3,8,19,241,7,11,0,0,davieje01
Calvin de Haan,D,44,1,9,-16,14,58,819,85,99,0,0,dehaaca01
Jacob de La Rose,LW,13,0,1,-2,7,13,133,8,22,34,39,delarja01
Chase De Leo,C,1,0,0,-2,0,1,13,0,1,4,8,deleoch01
Jean-Sebastien Dea,C,1,0,0,-1,2,2,6,0,0,0,0,deaje01
Anthony DeAngelo,D,6,0,1,-6,4,13,111,6,3,0,0,deangan01
Alex DeBrincat,RW,52,32,24,3,12,155,1068,22,70,16,24,debrial01
Jake DeBrusk,LW,41,5,9,1,6,92,611,20,33,6,9,debruja01
Danny DeKeyser,D,47,4,8,3,18,43,851,81,44,0,0,dekeyda01
Michael Del Zotto,D,53,4,9,5,8,77,948,54,125,0,0,delzomi01
Ty Dellandrea,C,26,3,2,0,23,31,325,10,47,45,55,dellaty01
Dylan DeMelo,D,52,0,9,10,20,44,882,58,76,0,0,demeldy01
Jason Demers,D,41,0,4,-4,26,44,707,30,69,0,0,demerja01
Grigori Denisenko,LW,7,0,4,1,2,6,84,2,15,1,1,denisgr01
Travis Dermott,D,51,2,4,-1,19,36,674,35,44,0,0,dermotr01
Nicolas Deslauriers,LW,49,5,5,-7,53,65,555,20,136,1,3,deslani01
Phillip Di Giuseppe,LW,31,1,7,2,13,44,344,16,78,3,4,digiuph01
Jason Dickinson,C,51,7,8,-2,18,66,826,49,78,137,159,dickija01
Brenden Dillon,D,56,2,17,15,49,51,1061,61,143,0,0,dillobr01
Christian Djoos,D,36,2,9,-13,14,39,543,26,10,0,0,djoosch01
Noah Dobson,D,46,3,11,1,8,69,754,59,40,0,0,dobsono01
Max Domi,LW,54,9,15,-18,75,99,822,10,15,192,204,domima01
Ryan Donato,C,50,6,14,-10,10,104,631,21,50,27,36,donatry01
Joonas Donskoi,RW,51,17,14,14,10,86,742,25,14,13,18,donskjo01
Drew Doughty,D,56,8,26,-14,26,101,1477,83,91,0,0,doughdr01
Nic Dowd,C,56,11,4,4,31,68,805,40,109,432,336,dowdni01
Justin Dowling,C,27,1,4,-4,6,27,299,3,17,43,43,dowliju01
Leon Draisaitl,C,56,31,53,29,22,168,1243,12,37,574,457,draisle01
Sheldon Dries,C,3,0,0,1,4,1,23,0,6,0,1,driessh01
Jonathan Drouin,LW,44,2,21,-8,20,76,708,7,42,21,24,drouijo01
Jamie Drysdale,D,24,3,5,-12,6,28,470,23,7,0,0,drysdja01
Dillon Dube,C,51,11,11,-1,20,84,696,14,59,9,8,dubedi01
Pierre-Luc Dubois,LW,46,9,12,-8,38,76,691,26,59,166,216,duboipi01
Matt Duchene,C,34,6,7,-12,6,73,538,10,30,162,139,duchema01
Anthony Duclair,LW,43,10,22,27,18,104,674,9,32,0,2,duclaan01
Mathew Dumba,D,51,6,15,1,46,89,1136,75,74,0,0,dumbama01
Brian Dumoulin,D,41,4,10,18,12,50,917,55,63,0,0,dumoubr01
Vince Dunn,D,43,6,14,-8,18,73,828,51,36,0,0,dunnvi02
Joshua Dunne,C,6,0,0,-1,4,7,62,7,12,6,28,dunnejo01
Christian Dvorak,C,56,17,14,-11,12,95,1031,45,48,553,509,dvorach01
Ryan Dzingel,C,40,8,5,-5,21,48,508,10,44,3,9,dzingry01
Cody Eakin,C,46,3,4,-9,14,39,595,20,33,271,228,eakinco01
Jordan Eberle,RW,55,16,17,9,16,128,922,18,30,3,4,eberljo01
Alexander Edler,D,52,0,8,-8,58,99,1087,118,80,0,0,edleral01
Joel Edmundson,D,55,3,10,28,25,77,1103,75,98,0,0,edmunjo01
Nikolaj Ehlers,LW,47,21,25,15,15,148,795,12,26,1,0,ehlerni01
Jack Eichel,C,21,2,16,-9,6,61,430,15,20,195,197,eicheja01
Aaron Ekblad,D,35,11,11,5,33,101,878,27,24,0,0,ekblaaa01
Mattias Ekholm,D,48,6,17,19,14,110,1098,46,23,0,0,ekholma01
Oliver Ekman-Larsson,D,46,3,21,-17,32,83,965,26,72,0,0,ekmanol01
Lars Eller,C,44,8,15,-1,21,69,719,16,36,332,327,ellerla01
Ryan Ellis,D,35,5,13,1,10,75,832,63,21,0,0,ellisry01
Pierre Engvall,LW,42,7,5,2,16,61,501,12,43,102,135,engvapi01
Tyler Ennis,C,30,3,6,0,6,38,364,6,43,6,3,ennisty01
Mackenzie Entwistle,RW,5,1,1,1,2,6,49,2,10,6,21,entwima01
Loui Eriksson,LW,7,0,1,-3,2,5,67,1,1,1,0,erikslo01
Joel Eriksson Ek,C,56,19,11,16,20,119,955,37,105,395,444,eriksjo02
Adam Erne,LW,45,11,9,-1,26,71,626,16,82,20,14,ernead01
Jake Evans,C,47,3,10,2,29,55,556,26,79,203,202,evansja02
Robby Fabbri,C,30,10,8,3,16,58,518,17,34,83,107,fabbrro01
Dante Fabbro,D,40,2,10,-1,23,59,773,57,32,0,0,fabbrda01
Radek Faksa,C,55,6,8,-15,30,94,959,45,100,424,336,faksara01
Joel Farabee,LW,55,20,18,0,28,122,881,21,48,6,9,farabjo01
David Farrance,D,2,0,0,3,0,3,36,1,1,0,0,farrada01
Hudson Fasching,RW,5,0,0,-3,0,7,47,1,6,0,0,faschhu01
Jesper Fast,RW,46,6,13,-4,14,38,704,23,78,13,25,fastje01
Justin Faulk,D,56,7,18,11,35,117,1359,87,127,0,0,faulkju01
Mario Ferraro,D,56,1,16,-6,22,58,1256,96,155,0,0,ferrama01
Kevin Fiala,LW,50,20,20,-2,43,162,845,13,27,5,10,fialake01
Valtteri Filppula,C,38,6,9,-1,12,25,593,15,9,109,133,filppva01
Christian Fischer,RW,52,3,8,-10,6,47,663,27,148,12,12,fischch01
Haydn Fleury,D,47,3,1,-12,8,62,724,55,63,0,0,fleurha01
Warren Foegele,LW,53,10,10,4,20,91,750,12,60,18,17,foegewa01
Steven Fogarty,C,9,1,2,2,8,5,106,10,4,7,5,fogarst01
Marcus Foligno,LW,39,11,15,19,49,40,584,17,109,2,9,foligma01
Nick Foligno,LW,49,7,13,2,32,81,871,37,133,117,144,foligni01
Callan Foote,D,35,1,2,9,29,40,451,29,39,0,0,footeca01
Nolan Foote,LW,6,1,1,-1,0,5,58,1,5,0,2,footeno01
Derek Forbort,D,56,2,10,1,35,67,1162,115,80,0,0,forbode01
Alex Formenton,LW,20,4,2,6,6,27,240,8,23,1,4,formeal01
Filip Forsberg,C,39,12,20,-9,16,129,713,14,47,3,5,forsbfi01
Gustav Forsling,D,43,5,12,17,8,94,858,42,30,0,0,forslgu02
Liam Foudy,C,24,0,4,0,6,40,302,5,13,2,8,foudyli01
Cam Fowler,D,56,5,18,-4,18,75,1219,36,27,0,0,fowleca01
Adam Fox,D,55,5,42,19,14,102,1359,102,23,0,1,foxad01
Trent Frederic,C,42,4,1,-8,65,44,473,15,61,37,33,fredetr01
Mark Friedman,D,9,2,1,1,9,9,99,7,14,0,1,friedma01
Martin Frk,RW,1,0,0,-1,0,0,9,0,1,0,0,frkma01
Byron Froese,C,6,1,0,1,2,2,50,4,8,12,19,froesby01
Michael Frolik,LW,8,0,0,-3,0,14,92,1,9,6,4,frolimi01
Morgan Frost,C,2,0,0,0,0,0,20,0,0,10,10,frostmo01
Kurtis Gabriel,RW,11,0,0,1,55,4,84,10,46,0,0,gabriku01
Jonah Gadjovich,LW,1,0,0,-1,17,0,5,0,1,0,0,gadjojo01
Sam Gagner,C,42,7,8,-4,15,88,649,14,5,83,97,gagnesa01
Alex Galchenyuk,C,34,5,8,-8,20,62,432,10,44,3,3,galchal01
Brendan Gallagher,RW,35,14,9,10,16,106,525,12,46,23,19,gallabr01
Dylan Gambrell,C,49,5,7,-18,13,48,785,54,77,279,358,gambrdy01
Jake Gardiner,D,26,0,8,-1,11,23,417,15,15,0,0,gardija01
Rhett Gardner,C,28,1,1,-9,8,23,279,11,52,43,57,gardnrh01
Conor Garland,RW,49,12,27,-3,26,135,878,19,26,7,14,garlaco01
Adam Gaudette,C,40,5,6,-15,12,66,445,22,16,53,71,gaudead01
Frederick Gaudreau,C,19,2,8,10,2,20,248,9,9,87,75,gaudrfr01
Johnny Gaudreau,LW,56,19,30,2,6,112,1031,9,8,0,1,gaudrjo01
Frederik Gauthier,C,2,0,0,0,2,1,13,1,1,6,10,gauthfr01
Julien Gauthier,RW,30,2,6,-6,14,38,289,9,56,4,4,gauthju01
Vladislav Gavrikov,D,55,2,10,-13,14,48,1067,77,69,0,0,gavrivl01
Glenn Gawdin,C,7,0,1,-1,0,1,48,1,12,19,16,gawdigl01
Morgan Geekie,C,36,3,6,1,10,30,352,6,28,74,67,geekimo01
Nathan Gerbe,C,9,1,2,0,2,9,100,2,8,7,6,gerbena01
Timothy Gettinger,LW,2,0,0,-2,0,2,23,1,5,1,0,gettiti01
Ryan Getzlaf,C,48,5,12,-14,43,70,796,46,66,350,326,getzlry01
Dennis Gilbert,D,3,0,0,0,5,0,20,1,2,0,0,gilbede01
Mark Giordano,D,56,9,17,5,14,142,1285,110,51,0,0,giordma01
Samuel Girard,D,48,5,27,15,16,79,1115,52,31,0,0,girarsa01
Claude Giroux,C,54,16,27,-4,12,120,978,6,32,484,328,giroucl01
Cody Glass,C,27,4,6,6,8,28,393,9,10,110,149,glassco01
Luke Glendening,C,54,6,9,3,20,67,799,57,68,523,336,glendlu01
Alex Goligoski,D,56,3,19,2,14,72,1288,108,76,0,0,goligal01
Barclay Goodrow,RW,55,6,14,16,52,72,832,27,111,162,162,goodrba01
Shayne Gostisbehere,D,41,9,11,-2,6,85,818,47,18,0,0,gostish01
Yanni Gourde,C,56,17,19,10,44,118,956,21,51,316,333,gourdya01
Mikael Granlund,C,51,13,14,-1,14,74,992,42,46,243,226,granlmi01
Derek Grant,C,46,6,9,-4,25,66,670,40,65,289,277,grantde01
Tyler Graovac,C,14,3,1,-3,6,17,136,5,13,42,50,graovty01
Ryan Graves,D,54,2,13,15,55,101,1029,91,77,0,0,gravery01
Andy Greene,D,55,1,4,9,6,50,967,99,41,0,0,greenan01
Jordan Greenway,LW,56,6,26,5,49,80,885,28,87,16,17,greenjo02
A.J. Greer,LW,1,0,0,0,7,0,9,0,0,0,0,greeraj01
Noah Gregor,C,30,5,1,-16,6,60,352,19,47,20,49,gregono01
Mikhail Grigorenko,C,32,4,8,-2,6,36,440,17,14,9,15,grigomi01
Rocco Grimaldi,C,40,10,3,-3,4,62,513,9,20,0,2,grimaro01
Jordan Gross,D,7,0,3,-3,2,10,92,8,6,0,0,grossjo01
Carl Grundstrom,RW,47,6,5,-10,16,66,586,23,104,3,4,grundca01
Matt Grzelcyk,D,37,5,15,11,22,80,731,34,19,0,0,grzelma01
Radko Gudas,D,54,2,9,6,40,84,949,72,250,0,0,gudasra01
Erik Gudbranson,D,45,1,3,-12,59,58,806,64,111,0,0,gudbrer01
Jake Guentzel,C,56,23,34,7,28,141,1135,32,43,3,9,guentja01
Carl Gunnarsson,D,12,0,2,-2,6,6,173,16,9,0,0,gunnaca01
Denis Gurianov,RW,55,12,18,0,21,130,872,12,63,0,1,guriade01
Nikita Gusev,LW,31,4,6,-12,2,72,445,1,4,0,0,gusevni01
David Gustafsson,C,4,0,0,-1,0,1,23,0,0,11,10,gustada01
Erik Gustafsson,D,29,1,11,-1,0,33,485,21,21,0,0,gustaer02
Gaetan Haas,F,34,2,1,-6,10,24,386,29,31,139,167,haasga01
Brandon Hagel,LW,52,9,15,-7,11,91,727,28,59,9,14,hagelbr01
Carl Hagelin,LW,56,6,10,7,19,85,790,19,22,3,10,hagelca01
Robert Hagg,D,34,2,3,-3,18,29,533,31,100,0,0,haggro01
Nicolas Hague,D,52,5,12,14,31,78,832,65,94,0,0,hagueni01
Libor Hajek,D,44,2,2,2,10,33,672,48,26,0,0,hajekli01
Jani Hakanpaa,D,57,2,2,4,35,54,1027,83,215,0,0,hakanja01
Micheal Haley,C,4,0,0,-1,5,0,24,0,10,0,1,haleymi01
Taylor Hall,LW,53,10,23,-6,26,136,947,15,34,7,10,hallta02
Dougie Hamilton,D,55,10,32,20,35,180,1250,64,52,0,0,hamildo01
Travis Hamonic,D,38,3,7,-3,39,79,736,81,48,0,1,hamontr01
Fredrik Handemark,C,8,1,0,-3,2,5,76,1,14,29,30,handefr01
Noah Hanifin,D,47,4,11,-2,18,89,941,40,28,0,0,hanifno01
Joel Hanley,D,35,0,8,6,2,27,456,30,40,0,0,hanlejo01
Mike Hardman,RW,8,1,2,0,0,5,88,6,38,1,1,hardmmi01
Jansen Harkins,C,26,1,1,-2,4,16,218,3,11,11,7,harkija01
Ben Harpur,D,34,0,7,2,17,33,559,29,44,0,0,harpube01
Scott Harrington,D,12,1,2,-3,6,8,196,20,9,0,0,harrisc01
Ryan Hartman,RW,51,7,15,0,33,74,769,33,55,198,279,hartmry01
