 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
19,Nicklas Backstrom,C,6-1,206,L/-,12,November 23 1987,backsni02
72,Travis Boyd,C,6-0,190,R/-,2,September 14 1993,boydtr01
74,John Carlson,D,6-3,215,R/-,10,January 10 1990,carlsjo01
4,Brenden Dillon,D,6-4,225,L/-,8,November 13 1990,dillobr01
29,Christian Djoos,D,6-0,169,L/-,2,August 6 1994,djoosch01
26,Nic Dowd,C,6-1,192,R/-,4,May 27 1990,dowdni01
20,Lars Eller,C,6-2,208,L/-,10,May 8 1989,ellerla01
42,Martin Fehervary,D,6-2,202,L/-,R,October 6 1999,feherma01
33,Radko Gudas,D,6-0,208,R/-,7,June 5 1990,gudasra01
62,Carl Hagelin,LW,5-11,185,L/-,8,August 23 1988,hagelca01
21,Garnet Hathaway,RW,6-2,212,R/-,4,November 23 1991,hathaga01
70,Braden Holtby,G,6-1,215,-/L,9,September 16 1989,holtbbr01
3,Nick Jensen,D,6-1,205,R/-,3,September 21 1990,jenseni02
6,Michal Kempny,D,6-1,192,L/-,3,September 8 1990,kempnmi01
17,Ilya Kovalchuk,LW,6-3,222,R/-,12,April 15 1983,kovalil01
92,Evgeny Kuznetsov,C,6-1,205,L/-,6,May 19 1992,kuzneev01
28,Brendan Leipsic,LW,5-10,179,L/-,3,May 19 1994,leipsbr01
78,Tyler Lewington,D,6-0,194,R/-,1,December 5 1994,lewinty01
47,Beck Malenstyn,LW,6-3,200,L/-,R,February 4 1998,malenbe01
9,Dmitry Orlov,D,5-11,211,L/-,7,July 23 1991,orlovdm01
77,T.J. Oshie,C/RW,5-11,196,R/-,11,December 23 1986,oshietj01
8,Alex Ovechkin (C),LW,6-3,238,R/-,14,September 17 1985,ovechal01
14,Richard Panik,RW,6-2,210,L/-,7,February 7 1991,panikri01
64,Brian Pinho,C,6-1,190,-/-,R,May 11 1995,pinhobr01
30,Ilya Samsonov,G,6-3,200,-/L,R,February 22 1997,samsoil01
23,Michael Sgarbossa,C,6-0,182,L/-,4,July 25 1992,sgarbmi01
34,Jonas Siegenthaler,D,6-2,218,L/-,1,May 6 1997,siegejo01
18,Chandler Stephenson,C,6-0,203,L/-,4,April 22 1994,stephch02
13,Jakub Vrana,LW,6-0,195,L/-,3,February 28 1996,vranaja01
43,Tom Wilson,RW,6-4,220,R/-,6,March 29 1994,wilsoto01
