 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
27,Karl Alzner,D,6-3,213,L/-,11,September 24 1988,alzneka01
40,Joel Armia,RW,6-3,216,R/-,5,May 31 1993,armiajo01
45-49,Riley Barber,RW,6-0,199,R/-,1,February 7 1994,barberi01
60,Alex Belzile,F,6-0,196,R/-,R,August 31 1991,belzial01
41,Paul Byron,C/LW,5-9,158,L/-,9,April 27 1989,byronpa01
8,Ben Chiarot,D,6-3,232,L/-,6,May 9 1991,chiarbe01
21,Nick Cousins,C,5-11,192,L/-,5,June 20 1993,cousini01
24,Phillip Danault,LW,6-1,200,L/-,5,February 24 1993,danauph01
13,Max Domi,LW,5-10,192,L/-,4,March 2 1995,domima01
92,Jonathan Drouin,LW,5-11,198,L/-,5,March 28 1995,drouijo01
71,Jake Evans,C/RW,6-0,186,R/-,R,June 2 1996,evansja02
20,Cale Fleury,D,6-1,213,R/-,R,November 19 1998,fleurca01
32,Christian Folin,D,6-3,204,R/-,6,February 9 1991,folinch01
11,Brendan Gallagher,RW,5-9,186,R/-,7,May 6 1992,gallabr01
54,Charles Hudon,LW,5-10,187,L/-,4,June 23 1994,hudonch01
37,Keith Kinkaid,G,6-3,186,-/L,6,July 4 1989,kinkake01
15,Jesperi Kotkaniemi,C,6-2,201,L/-,1,July 6 2000,kotkaje01
17,Ilya Kovalchuk,LW,6-3,222,R/-,12,April 15 1983,kovalil01
17-77,Brett Kulak,D,6-1,197,L/-,5,January 6 1994,kulakbr01
62,Artturi Lehkonen,LW,6-0,176,L/-,3,July 4 1995,lehkoar01
64,Otto Leskinen,D,5-11,183,L/-,R,February 6 1997,leskiot01
39,Charlie Lindgren,G,6-1,182,-/-,4,December 18 1993,lindgch01
53,Victor Mete,D,5-9,187,L/-,2,June 7 1998,metevi01
51,Gustav Olofsson,D,6-3,195,L/-,3,December 1 1994,olofsgu01
61,Xavier Ouellet,D,6-0,197,L/-,6,July 29 1993,ouellxa01
63,Matthew Peca,C,5-8,182,L/-,3,April 27 1993,pecama01
26,Jeff Petry,D,6-3,201,R/-,9,December 9 1987,petryje01
25,Ryan Poehling,C,6-2,197,L/-,1,January 3 1999,poehlry01
31,Carey Price,G,6-3,217,L/L,12,August 16 1987,priceca01
30,Cayden Primeau,G,,,-/L,R,August 11 1999,primeca01
28,Mike Reilly,D,6-1,199,L/-,4,July 13 1993,reillmi01
28,Marco Scandella,D,6-3,211,L/-,9,February 23 1990,scandma01
14,Nick Suzuki,C,5-11,208,R/-,R,August 10 1999,suzukni01
90,Tomas Tatar,C,5-10,173,L/-,8,December 1 1990,tatarto01
44,Nate Thompson,C,6-1,205,L/-,12,October 5 1984,thompna01
22-42,Lukas Vejdemo,C,6-2,196,L/-,R,January 25 1996,vejdelu01
43,Jordan Weal,C,5-10,179,R/-,4,April 15 1992,wealjo01
6,Shea Weber (C),D,6-4,230,R/-,14,August 14 1985,webersh01
22,Dale Weise,RW,6-2,206,R/-,9,August 5 1988,weiseda01
