 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
26,Andrew Agozzino,LW,5-10,187,L/-,3,January 3 1991,agozzan01
57,Anthony Angello,C,6-5,210,R/-,R,March 6 1996,angelan01
46,Zach Aston-Reese,C,6-0,204,L/-,2,August 10 1994,astonza01
27,Nick Bjugstad,C,6-6,215,R/-,7,July 17 1992,bjugsni01
36,Joseph Blandisi,C,6-0,182,L/-,4,June 18 1994,blandjo01
53,Teddy Blueger,C,6-0,185,L/-,1,August 15 1994,bluegte01
87,Sidney Crosby (C),C,5-11,200,L/-,14,August 7 1987,crosbsi01
54,Thomas Di Pauli,C,5-11,188,L/-,R,April 29 1994,dipauth01
8,Brian Dumoulin,D,6-4,207,L/-,6,September 6 1991,dumoubr01
18,Alex Galchenyuk,C,6-1,194,L/-,7,February 12 1994,galchal01
44,Erik Gudbranson,D,6-5,222,R/-,8,January 7 1992,gudbrer01
59,Jake Guentzel,C,5-11,180,L/-,3,October 6 1994,guentja01
72,Patric Hornqvist,RW,5-11,189,R/-,11,January 1 1987,hornqpa01
35,Tristan Jarry,G,6-2,194,-/-,3,April 29 1995,jarrytr01
47,Adam Johnson,C,6-0,175,L/-,1,June 22 1994,johnsad01
3,Jack Johnson,D,6-1,227,L/-,13,January 13 1987,johnsja02
24,Dominik Kahun,C,5-11,175,L/-,1,July 2 1995,kahundo01
37,Sam Lafferty,C/LW,6-1,195,R/-,R,March 6 1995,laffesa01
58,Kris Letang,D,6-0,201,R/-,13,April 24 1987,letankr01
71,Evgeni Malkin,C,6-3,195,L/-,13,July 31 1986,malkiev01
6,John Marino,D,6-1,181,R/-,R,May 21 1997,marinjo01
12,Patrick Marleau,C,6-2,218,L/-,21,September 15 1979,marlepa01
19,Jared McCann,C,6-1,185,L/-,4,May 31 1996,mccanja01
30,Matt Murray,G,6-4,178,-/-,4,May 25 1994,murrama02
14,Stefan Noesen,RW,6-1,205,R/-,5,February 12 1993,noesest01
28,Marcus Pettersson,D,6-3,177,L/-,2,May 8 1996,pettema01
50,Juuso Riikola,D,6-0,189,L/-,1,November 9 1993,riikoju01
9,Evan Rodrigues,C,5-11,184,R/-,4,July 28 1993,rodriev01
2,Chad Ruhwedel,D,5-11,191,R/-,7,May 7 1990,ruhwech01
17,Bryan Rust,RW,5-11,192,R/-,5,May 11 1992,rustbr01
4,Justin Schultz,D,6-2,187,R/-,7,July 6 1990,schulju01
43,Conor Sheary,LW,5-9,178,L/-,4,June 8 1992,shearco01
12-18,Dominik Simon,C,5-11,190,L/-,4,August 8 1994,simondo01
13,Brandon Tanev,LW,6-0,180,L/-,4,December 31 1991,tanevbr01
5,Zach Trotman,D,6-3,217,R/-,5,August 26 1990,trotmza01
16,Jason Zucker,LW,5-11,192,L/-,8,January 16 1992,zuckeja01
