 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
20,Sebastian Aho,F,6-0,173,L/-,3,July 26 1997,ahose01
90,David Ayres,G,6-0,201,-/L,R,August 12 1977,ayresda01
64,Clark Bishop,C,6-1,197,L/-,1,March 29 1996,bishocl01
18,Ryan Dzingel,C,6-0,190,L/-,4,March 9 1992,dzingry01
6,Joel Edmundson,D,6-4,227,L/-,4,June 28 1993,edmunjo01
4,Haydn Fleury,D,6-3,208,L/-,2,July 8 1996,fleurha01
13,Warren Foegele,LW,6-2,198,L/-,2,April 1 1996,foegewa01
31,Anton Forsberg,G,6-2,176,-/-,4,November 27 1992,forsban01
51,Jake Gardiner,D,6-2,203,L/-,8,July 4 1990,gardija01
44,Julien Gauthier,RW,6-4,227,R/-,R,October 15 1997,gauthju01
43,Morgan Geekie,C,6-3,192,R/-,R,July 20 1998,geekimo01
29,Brian Gibbons,C,5-8,175,L/-,4,February 26 1988,gibbobr02
19,Dougie Hamilton,D,6-6,230,R/-,7,June 17 1993,hamildo01
56,Erik Haula,LW,6-0,193,L/-,6,March 23 1991,haulaer01
43,Eetu Luostarinen,C,6-3,190,L/-,R,September 2 1998,luostee01
48,Jordan Martinook,LW,6-0,196,L/-,5,July 25 1992,martijo01
23,Brock McGinn,LW,6-0,187,L/-,4,February 2 1994,mcginbr01
34,Petr Mrazek,G,6-1,190,-/L,7,February 14 1992,mrazepe01
88,Martin Necas,C,6-2,189,R/-,2,January 15 1999,necasma01
39,Alex Nedeljkovic,G,6-0,189,-/-,2,January 7 1996,nedelal01
21,Nino Niederreiter,RW,6-2,215,L/-,8,September 8 1992,niedeni01
22,Brett Pesce,D,6-4,201,R/-,4,November 15 1994,pescebr01
47,James Reimer,G,6-2,220,-/L,9,March 15 1988,reimeja01
76,Brady Skjei,D,6-3,210,L/-,4,March 26 1994,skjeibr01
74,Jaccob Slavin,D,6-3,213,L/-,4,May 1 1994,slavija01
11,Jordan Staal (C),C,6-4,220,L/-,13,September 10 1988,staaljo01
37,Andrei Svechnikov,RW,6-2,200,L/-,1,March 26 2000,svechan01
86,Teuvo Teravainen,F,5-11,196,L/-,6,September 11 1994,teravte01
16,Vincent Trocheck,C,5-10,183,R/-,6,July 11 1993,trochvi01
57,Trevor van Riemsdyk,D,6-3,188,R/-,5,July 24 1991,vanritr01
45,Sami Vatanen,D,5-10,185,R/-,7,June 3 1991,vatansa01
71,Lucas Wallmark,C,6-0,178,L/-,3,September 5 1995,wallmlu01
14,Justin Williams,RW,6-1,184,R/-,18,October 4 1981,williju01
